precinct_name,precinct_center_lat,precinct_center_lon,winner,winner_net,winner_pct,Jenkins_total,Zappala_total,WRITE-IN_total,precinct_total,Jenkins_pct,Zappala_pct,WRITE-IN_pct
PITTSBURGH WRD 14 DIST 16,40.449250000000006,-79.9073,Jenkins,17,56.4,75,58,0,133,56.4,43.6,0.0
PITTSBURGH WRD 14 DIST 17,40.443,-79.9067,Jenkins,82,72.5,132,50,0,182,72.5,27.5,0.0
PITTSBURGH WRD 14 DIST 18,40.43965,-79.89805000000001,Jenkins,64,66.3,130,66,0,196,66.3,33.7,0.0
PITTSBURGH WRD 14 DIST 19,40.431400000000004,-79.89625000000001,Jenkins,32,57.5,122,90,0,212,57.5,42.5,0.0
PITTSBURGH WRD 14 DIST 20,40.439550000000004,-79.91785000000002,Jenkins,9,52.6,90,80,1,171,52.6,46.8,0.6
PITTSBURGH WRD 14 DIST 21,40.44205000000001,-79.9203,Jenkins,34,60.5,98,64,0,162,60.5,39.5,0.0
PITTSBURGH WRD 14 DIST 22,40.4431,-79.9149,Jenkins,70,66.5,141,71,0,212,66.5,33.5,0.0
PITTSBURGH WRD 14 DIST 23,40.43575,-79.91575,Jenkins,13,53.6,98,85,0,183,53.6,46.4,0.0
PITTSBURGH WRD 14 DIST 24,40.428250000000006,-79.91760000000001,Jenkins,39,63.8,90,50,1,141,63.8,35.5,0.7
PITTSBURGH WRD 14 DIST 25,40.42495,-79.9118,Zappala,12,52.8,102,114,0,216,47.2,52.8,0.0
PITTSBURGH WRD 14 DIST 26,40.432900000000004,-79.90745000000001,Jenkins,49,66.9,97,48,0,145,66.9,33.1,0.0
PITTSBURGH WRD 14 DIST 27,40.42305,-79.90180000000001,Zappala,20,56.8,64,84,0,148,43.2,56.8,0.0
PITTSBURGH WRD 14 DIST 28,40.42045,-79.9073,Zappala,20,58.8,47,67,0,114,41.2,58.8,0.0
PITTSBURGH WRD 14 DIST 29,40.425850000000004,-79.92150000000001,Jenkins,10,53.6,75,65,0,140,53.6,46.4,0.0
PITTSBURGH WRD 14 DIST 30,40.422650000000004,-79.92190000000001,Jenkins,21,58.1,75,54,0,129,58.1,41.9,0.0
PITTSBURGH WRD 14 DIST 31,40.4185,-79.91855000000001,Zappala,11,52.2,120,131,0,251,47.8,52.2,0.0
PITTSBURGH WRD 14 DIST 32,40.4275,-79.9247,Jenkins,23,61.2,63,39,1,103,61.2,37.9,1.0
PITTSBURGH WRD 14 DIST 33,40.43095,-79.92065,Jenkins,1,50.4,69,68,0,137,50.4,49.6,0.0
PITTSBURGH WRD 14 DIST 34,40.43545,-79.92080000000001,Jenkins,34,63.9,78,43,1,122,63.9,35.2,0.8
PITTSBURGH WRD 14 DIST 35,40.4361,-79.92525,Jenkins,32,63.1,77,45,0,122,63.1,36.9,0.0
PITTSBURGH WRD 14 DIST 36,40.432900000000004,-79.92520000000002,Jenkins,26,60.5,75,49,0,124,60.5,39.5,0.0
PITTSBURGH WRD 14 DIST 37,40.429950000000005,-79.93050000000001,Zappala,7,54.0,40,47,0,87,46.0,54.0,0.0
PITTSBURGH WRD 14 DIST 38,40.43815,-79.93495,Jenkins,13,55.4,67,54,0,121,55.4,44.6,0.0
PITTSBURGH WRD 14 DIST 39,40.43365,-79.93205,Jenkins,7,52.7,69,62,0,131,52.7,47.3,0.0
PITTSBURGH WRD 14 DIST 40,40.43095,-79.93,Jenkins,24,66.7,48,24,0,72,66.7,33.3,0.0
PITTSBURGH WRD 14 DIST 41,40.4345,-79.94165000000001,Zappala,3,57.9,8,11,0,19,42.1,57.9,0.0
PITTSBURGH WARD 15 DIST 1,40.415850000000006,-79.92450000000001,Zappala,9,55.2,39,48,0,87,44.8,55.2,0.0
PITTSBURGH WARD 15 DIST 2,40.424800000000005,-79.92920000000001,Zappala,5,52.6,45,51,1,97,46.4,52.6,1.0
PITTSBURGH WARD 15 DIST 3,40.419450000000005,-79.93375,Jenkins,1,50.5,48,47,0,95,50.5,49.5,0.0
PITTSBURGH WARD 15 DIST 4,40.425650000000005,-79.93245,Jenkins,6,53.0,53,47,0,100,53.0,47.0,0.0
PITTSBURGH WARD 15 DIST 5,40.426700000000004,-79.93345000000001,Jenkins,2,51.1,46,44,0,90,51.1,48.9,0.0
PITTSBURGH WARD 15 DIST 6,40.421850000000006,-79.93480000000001,Zappala,12,55.0,54,66,0,120,45.0,55.0,0.0
PITTSBURGH WARD 15 DIST 7,40.4226,-79.93880000000001,Zappala,23,58.5,56,79,0,135,41.5,58.5,0.0
PITTSBURGH WARD 15 DIST 8,40.426500000000004,-79.9425,Jenkins,4,52.0,52,48,0,100,52.0,48.0,0.0
PITTSBURGH WARD 15 DIST 9,40.42620000000001,-79.94890000000001,Zappala,1,51.6,15,16,0,31,48.4,51.6,0.0
PITTSBURGH WRD 15 DIST 10,40.4221,-79.9431,Zappala,2,51.0,46,49,1,96,47.9,51.0,1.0
PITTSBURGH WRD 15 DIST 11,40.420500000000004,-79.94605000000001,Zappala,9,55.6,36,45,0,81,44.4,55.6,0.0
PITTSBURGH WRD 15 DIST 12,40.41605,-79.93730000000001,Zappala,12,57.5,34,46,0,80,42.5,57.5,0.0
PITTSBURGH WRD 15 DIST 13,40.4114,-79.94215,Jenkins,30,73.4,47,17,0,64,73.4,26.6,0.0
PITTSBURGH WRD 15 DIST 14,40.4012,-79.94125000000001,Jenkins,3,53.3,24,21,0,45,53.3,46.7,0.0
PITTSBURGH WRD 15 DIST 15,40.4071,-79.94805000000001,Jenkins,12,66.7,24,12,0,36,66.7,33.3,0.0
PITTSBURGH WRD 15 DIST 16,40.40945000000001,-79.93620000000001,Jenkins,28,65.9,58,30,0,88,65.9,34.1,0.0
PITTSBURGH WRD 15 DIST 17,40.41915,-79.94990000000001,Jenkins,3,80.0,4,1,0,5,80.0,20.0,0.0
PITTSBURGH WRD 15 DIST 18,40.40545,-79.94085000000001,Jenkins,12,56.8,50,37,1,88,56.8,42.0,1.1
PITTSBURGH WRD 15 DIST 19,40.404300000000006,-79.92880000000001,Jenkins,35,70.1,61,26,0,87,70.1,29.9,0.0
PITTSBURGH WARD 16 DIST 1,40.42855,-79.9735,Zappala,21,61.3,35,57,1,93,37.6,61.3,1.1
PITTSBURGH WARD 16 DIST 2,40.429100000000005,-79.9682,Zappala,12,55.0,54,66,0,120,45.0,55.0,0.0
PITTSBURGH WARD 16 DIST 3,40.4225,-79.96155,Zappala,5,52.4,49,54,0,103,47.6,52.4,0.0
PITTSBURGH WARD 16 DIST 4,40.42035,-79.97590000000001,Zappala,2,52.3,21,23,0,44,47.7,52.3,0.0
PITTSBURGH WARD 16 DIST 5,40.422200000000004,-79.97035000000001,Zappala,3,51.9,37,40,0,77,48.1,51.9,0.0
PITTSBURGH WARD 16 DIST 6,40.419700000000006,-79.96860000000001,Zappala,16,61.1,27,44,1,72,37.5,61.1,1.4
PITTSBURGH WARD 16 DIST 7,40.415600000000005,-79.9786,Zappala,21,66.2,22,43,0,65,33.8,66.2,0.0
PITTSBURGH WARD 16 DIST 8,40.4152,-79.95935,Jenkins,5,77.8,7,2,0,9,77.8,22.2,0.0
PITTSBURGH WARD 16 DIST 9,40.408950000000004,-79.97265000000002,Zappala,15,59.3,33,48,0,81,40.7,59.3,0.0
PITTSBURGH WRD 16 DIST 10,40.41415000000001,-79.96620000000001,Zappala,18,69.6,14,32,0,46,30.4,69.6,0.0
PITTSBURGH WRD 16 DIST 11,40.4144,-79.9734,Zappala,30,75.0,15,45,0,60,25.0,75.0,0.0
PITTSBURGH WARD 17 DIST 1,40.43085000000001,-79.99625,Zappala,1,53.3,7,8,0,15,46.7,53.3,0.0
PITTSBURGH WARD 17 DIST 2,40.42915000000001,-79.98825000000001,Zappala,4,51.9,52,56,0,108,48.1,51.9,0.0
PITTSBURGH WARD 17 DIST 3,40.427150000000005,-79.98425,Jenkins,3,51.6,47,44,0,91,51.6,48.4,0.0
PITTSBURGH WARD 17 DIST 4,40.43075,-79.97885,Zappala,37,65.8,40,77,0,117,34.2,65.8,0.0
PITTSBURGH WARD 17 DIST 5,40.4264,-79.97935000000001,Zappala,30,70.3,22,52,0,74,29.7,70.3,0.0
PITTSBURGH WARD 17 DIST 6,40.4207,-79.98240000000001,Zappala,6,57.1,18,24,0,42,42.9,57.1,0.0
PITTSBURGH WARD 17 DIST 7,40.422650000000004,-79.983,Zappala,22,66.7,22,44,0,66,33.3,66.7,0.0
PITTSBURGH WARD 17 DIST 8,40.42445000000001,-79.98270000000001,Zappala,12,61.1,21,33,0,54,38.9,61.1,0.0
PITTSBURGH WARD 18 DIST 1,40.40875,-80.00245000000001,Zappala,49,77.5,19,69,1,89,21.3,77.5,1.1
PITTSBURGH WARD 18 DIST 2,40.4161,-80.00755000000001,Jenkins,47,76.4,68,20,1,89,76.4,22.5,1.1
PITTSBURGH WARD 18 DIST 3,40.418400000000005,-80.00245000000001,Jenkins,50,83.8,62,12,0,74,83.8,16.2,0.0
PITTSBURGH WARD 18 DIST 4,40.41615,-80.0006,Jenkins,47,81.3,61,14,0,75,81.3,18.7,0.0
PITTSBURGH WARD 18 DIST 5,40.4247,-80.001,Jenkins,4,51.6,64,60,0,124,51.6,48.4,0.0
PITTSBURGH WARD 18 DIST 6,40.4217,-79.99990000000001,Jenkins,11,62.8,27,16,0,43,62.8,37.2,0.0
PITTSBURGH WARD 18 DIST 7,40.42405000000001,-79.9993,Jenkins,10,60.9,28,18,0,46,60.9,39.1,0.0
PITTSBURGH WARD 18 DIST 8,40.42005,-79.9958,Jenkins,1,51.7,15,14,0,29,51.7,48.3,0.0
PITTSBURGH WARD 18 DIST 9,40.42375,-79.99260000000001,Jenkins,10,55.1,54,44,0,98,55.1,44.9,0.0
PITTSBURGH WRD 18 DIST 10,40.4284,-79.9979,Jenkins,0,50.0,5,5,0,10,50.0,50.0,0.0
PITTSBURGH WRD 18 DIST 11,40.4203,-79.9916,Zappala,9,59.6,19,28,0,47,40.4,59.6,0.0
PITTSBURGH WARD 19 DIST 1,40.439,-80.01750000000001,Zappala,30,72.7,18,48,0,66,27.3,72.7,0.0
PITTSBURGH WARD 19 DIST 2,40.4354,-80.02455,Zappala,13,61.8,21,34,0,55,38.2,61.8,0.0
PITTSBURGH WARD 19 DIST 3,40.43495,-80.01995,Zappala,18,65.5,20,38,0,58,34.5,65.5,0.0
PITTSBURGH WARD 19 DIST 4,40.43695,-80.01620000000001,Zappala,19,68.6,16,35,0,51,31.4,68.6,0.0
PITTSBURGH WARD 19 DIST 5,40.4339,-80.01355000000001,Zappala,10,63.2,13,24,1,38,34.2,63.2,2.6
PITTSBURGH WARD 19 DIST 6,40.4328,-80.0096,Zappala,14,62.5,21,35,0,56,37.5,62.5,0.0
PITTSBURGH WARD 19 DIST 7,40.429500000000004,-80.0048,Jenkins,3,58.8,10,7,0,17,58.8,41.2,0.0
PITTSBURGH WARD 19 DIST 8,40.4284,-80.0137,Jenkins,11,62.8,27,16,0,43,62.8,37.2,0.0
