muni_name,muni_center_lat,muni_center_lon,pctdiff,cand_towards,19da_Cand1_pct,19da_Cand2_pct,19da_Write-in_pct,23da_Cand1_pct,23da_Cand2_pct,23da_Write-in_pct
OAKDALE,40.4001763517,-80.1871507649,39.27,Dugan,14.7,85.3,0,48.2,51.8,0
OAKMONT,40.5200197453,-79.8365600181,25.46,Dugan,28.8,71.1,0.1,46.9,53,0.1
O'HARA,40.5092024135,-79.8949503818,25.04,Dugan,28.8,71.1,0.1,46.5,53.3,0.2
OHIO,40.5424610917,-80.0925939311,36.22,Dugan,29.6,70.4,0,55.1,44.9,0
GLEN OSBORNE,40.5307797921,-80.1679034089,56.35,Dugan,31.5,68.5,0,70.1,29.9,0
PENN HILLS,40.476217336,-79.8254062257,9.56,Dugan,59,40.8,0.2,63,36.9,0.2
PINE,40.6437301455,-80.0314700613,30.77,Dugan,37.4,62.4,0.2,56.7,43.2,0.2
PITCAIRN,40.4077733303,-79.7763559261,6.07,Dugan,28.9,70.8,0.3,33.5,66.5,0
PITTSBURGH WARD 1,40.4374639839,-79.9938780597,22.65,Dugan,64.5,34,1.4,73.7,26.3,0
PITTSBURGH WARD 2,40.4475614992,-79.9898819105,25.31,Dugan,51.8,48.2,0,64,36,0
PITTSBURGH WARD 3,40.4420703356,-79.9854523304,10.27,Zappala,77.3,22.4,0.2,74.5,24.7,0.8
PITTSBURGH WARD 4,40.4386878915,-79.9586577203,24.4,Dugan,58,41.4,0.6,68.7,31.3,0
PITTSBURGH WARD 5,40.4492377906,-79.9669484316,11.76,Dugan,75.9,23.8,0.3,78.7,21,0.3
PITTSBURGH WARD 6,40.4613272817,-79.9673493445,23.89,Dugan,59.2,40.6,0.2,68.8,30.9,0.4
PITTSBURGH WARD 7,40.4534949802,-79.9322270088,43.32,Dugan,50.2,49.4,0.3,71.9,28,0.1
PITTSBURGH WARD 8,40.4600190527,-79.9416829184,21.79,Dugan,60.9,39,0.1,69.4,30.5,0.1
PITTSBURGH WARD 9,40.4718176042,-79.9541103697,23.26,Dugan,56.8,43,0.2,66.9,33,0.1
PITTSBURGH WARD 10,40.4799586076,-79.9387046889,20.24,Dugan,57.3,42.5,0.2,65.9,33.9,0.2
PITTSBURGH WARD 11,40.4740156102,-79.9201006128,25.68,Dugan,66.7,33.1,0.2,75.2,24.6,0.2
PITTSBURGH WARD 12,40.4701274923,-79.9015523101,6.38,Dugan,76.4,23.5,0.1,77.3,22,0.7
PITTSBURGH WARD 13,40.455385638,-79.8849575852,15.42,Dugan,76.9,22.7,0.3,80.1,19.2,0.7
PITTSBURGH WARD 14,40.4364139751,-79.9183763342,35.44,Dugan,58.6,41.2,0.1,73.3,26.6,0.1
PITTSBURGH WARD 15,40.4143254293,-79.9374899629,21.29,Dugan,51.9,47.9,0.2,62.3,37.7,0
PITTSBURGH WARD 16,40.4174797415,-79.9688892289,27.97,Dugan,40.8,59,0.3,57.3,42.5,0.2
PITTSBURGH WARD 17,40.4264812989,-79.9855120588,32.72,Dugan,40.4,59.6,0,59.7,40.1,0.3
PITTSBURGH WARD 18,40.4174657138,-80.0002025037,13.29,Dugan,58.3,41.4,0.3,64,35.9,0.1
PITTSBURGH WARD 19,40.4140123971,-80.0179154834,24.09,Dugan,36.5,63.1,0.4,52,47.9,0.1
PITTSBURGH WARD 20,40.4350667315,-80.0428459428,12.87,Dugan,42.4,57.5,0.2,49.9,50.1,0
PITTSBURGH WARD 21,40.4547709943,-80.0262089511,6.88,Dugan,77.9,21.8,0.3,79.5,20.3,0.2
PITTSBURGH WARD 22,40.4513067176,-80.0099794565,41.08,Dugan,58.9,40.9,0.2,75.8,24.1,0.2
PITTSBURGH WARD 23,40.4542937263,-79.9962466655,17.79,Dugan,59.8,39.9,0.3,67.2,32.8,0
PITTSBURGH WARD 24,40.4630954036,-79.9887007499,30.03,Dugan,33.7,65.6,0.7,53.8,45.9,0.3
PITTSBURGH WARD 25,40.460946386,-80.0116183606,29.7,Dugan,67,33,0,76.6,23.2,0.2
PITTSBURGH WARD 26,40.4797030764,-80.0100508924,18.91,Dugan,57.6,42.3,0.1,65.6,34.3,0.1
PITTSBURGH WARD 27,40.4771489241,-80.0345749853,27.31,Dugan,46.5,53.1,0.4,61.1,38.6,0.3
PITTSBURGH WARD 28,40.4412554676,-80.0694845438,21.87,Dugan,38.4,60.8,0.8,52.3,47.5,0.2
PITTSBURGH WARD 29,40.3948740302,-79.986088037,13.9,Dugan,32.8,66.9,0.3,42.3,57.6,0.1
PITTSBURGH WARD 30,40.4135568204,-79.9929833876,21.95,Dugan,54.5,45.1,0.3,64.8,35.2,0
PITTSBURGH WARD 31,40.3854898734,-79.9323655715,21.73,Dugan,27.9,71.8,0.3,43.3,56.2,0.5
PITTSBURGH WARD 32,40.3871327458,-80.0001669474,26.45,Dugan,23.6,76,0.4,44,55.9,0.1
PLEASANT HILLS,40.3298323238,-79.9596531779,24.77,Dugan,24.4,75.5,0.2,43,56.8,0.2
PLUM,40.5024030928,-79.7496201111,18.02,Dugan,28.3,71.6,0.1,41.3,58.7,0.1
PORT VUE,40.3370541577,-79.8720244999,29.34,Dugan,19.6,80.1,0.3,42.8,56.6,0.6
RANKIN,40.4109547003,-79.8812336843,59.11,Zappala,77.5,22.5,0,63.7,35.8,0.5
RESERVE,40.4851089325,-79.9888064246,28.13,Dugan,24.7,75,0.3,45.9,53.9,0.2
RICHLAND,40.6439839052,-79.9579558983,21.59,Dugan,33.3,66.7,0,47.7,52.3,0
ROBINSON,40.4577747426,-80.1333479648,34.17,Dugan,19.8,79.9,0.3,47.3,52.6,0.1
ROSS,40.5256043993,-80.0242499811,29.78,Dugan,27.6,72.2,0.2,49.3,50.7,0
ROSSLYN FARMS,40.4224271193,-80.0885481682,45.29,Dugan,23.6,76.4,0,58.2,41.8,0
SCOTT,40.3875043541,-80.0791341083,31.66,Dugan,20.4,79.6,0,45.5,54.4,0
SEWICKLEY,40.5399373905,-80.1793173586,47.19,Dugan,42.7,57,0.4,69.9,30.1,0
SEWICKLEY HEIGHTS,40.5595268065,-80.1528050975,40.03,Dugan,33.3,66.7,0,60,40,0
SEWICKLEY HILLS,40.5681075283,-80.1271376721,39.34,Dugan,24.5,75.5,0,54.2,45.8,0
SHALER,40.5228996248,-79.9632440151,23.93,Dugan,22.6,77.3,0.1,41.1,58.8,0.1
SHARPSBURG,40.4940131921,-79.9248963648,19.34,Dugan,24.5,75.5,0,38.9,60.9,0.2
SOUTH FAYETTE,40.3556473663,-80.1617145699,36.97,Dugan,24,76,0,52,47.9,0.1
SOUTH PARK,40.298811481,-79.9944572311,33.29,Dugan,20.3,79.6,0.1,46.9,53.1,0.1
SOUTH VERSAILLES,40.3037036538,-79.7951668632,19.3,Dugan,31.6,68.4,0,44.8,55.2,0
SPRINGDALE BR,40.5408709929,-79.7819010843,17.82,Dugan,17.5,82.5,0,32.2,67.8,0
SPRINGDALE TP,40.5543554285,-79.7873199535,27.07,Dugan,10.6,89.4,0,34.8,65.2,0
STOWE,40.4829142587,-80.0734004601,29.69,Dugan,23,76.8,0.1,46,54,0
SWISSVALE,40.4206184098,-79.8858880724,24.23,Dugan,60.8,39.2,0.1,70.3,29.7,0.1
TARENTUM,40.6042584751,-79.7601386666,25.07,Dugan,27.8,72.2,0,45.6,54.1,0.3
THORNBURG,40.434583969,-80.0840515771,30.67,Dugan,29.9,70.1,0,51.4,48.6,0
PENNSBURY VILLAGE,40.4282747156,-80.1011375574,33.2,Dugan,23.8,76.2,0,49.1,50.9,0
TRAFFORD,40.3843734892,-79.7662746353,0,Zappala,50,50,0,50,50,0
TURTLE CREEK,40.4085710181,-79.8214685741,8.51,Dugan,42.4,57.6,0,47.3,52.7,0
UPPER ST. CLAIR,40.3336139558,-80.084127942,38.05,Dugan,33.4,66.5,0.2,58.7,41.2,0.1
VERONA,40.505084742,-79.8418667483,21.1,Dugan,30.8,69.2,0,45.4,54.6,0
VERSAILLES,40.3177239984,-79.8308812655,29.58,Dugan,14.1,85.2,0.8,39.4,60,0.6
WALL,40.3915620093,-79.7856959868,18.81,Dugan,10.7,89.3,0,27.5,72.5,0
WEST DEER,40.6350706708,-79.8692864183,21.54,Dugan,20.1,79.4,0.5,37.7,62.3,0.1
WEST ELIZABETH,40.2721539007,-79.8951701805,11.11,Dugan,9.1,90.9,0,19.2,80.8,0
WEST HOMESTEAD,40.3977433764,-79.9185831435,27.72,Dugan,21,79,0,42.7,57.1,0.3
WEST MIFFLIN,40.3580668422,-79.9072730242,27.51,Dugan,26.1,73.8,0.2,46.4,53.5,0.1
WEST VIEW,40.5181642946,-80.0332991519,33.09,Dugan,30,69.8,0.2,53.1,46.7,0.1
WHITAKER,40.4006712445,-79.8864190314,31.69,Dugan,31.3,68.8,0,53,47,0
WHITEHALL,40.3602171932,-79.9897913152,29.02,Dugan,22.7,77.2,0.1,45.1,54.8,0.1
WHITE OAK,40.3415530285,-79.8008006548,26.03,Dugan,22,78,0,42.3,57.7,0
WILKINS,40.4264893535,-79.8230205194,19.12,Dugan,45.4,54.4,0.2,56,44,0
WILKINSBURG,40.4442180111,-79.8733262577,25.86,Dugan,70.8,29,0.2,78.2,21.5,0.2
WILMERDING,40.3941906756,-79.8100482893,5.14,Zappala,39.7,60.3,0,36.6,63.4,0
