precinct_name,precinct_center_lat,precinct_center_lon,winner,winner_net,winner_pct,Dugan_total,Zappala_total,Write-in_total,precinct_total,Dugan_pct,Zappala_pct,Write-in_pct
Shaler Ward 3 Dist 5,40.540000000000006,-79.94930000000001,Zappala,9,53.4,62,71,0,133,46.6,53.4,0.0
Shaler Ward 4 Dist 1,40.529700000000005,-79.9597,Zappala,26,58.0,68,94,0,162,42.0,58.0,0.0
Shaler Ward 4 Dist 2,40.520250000000004,-79.96395000000001,Dugan,6,54.2,39,33,0,72,54.2,45.8,0.0
Shaler Ward 4 Dist 3,40.5386,-79.97030000000001,Dugan,20,57.9,73,53,0,126,57.9,42.1,0.0
Shaler Ward 4 Dist 4,40.5431,-79.96965,Zappala,45,70.6,32,77,0,109,29.4,70.6,0.0
Shaler Ward 4 Dist 5,40.522800000000004,-79.95515,Zappala,18,57.6,50,68,0,118,42.4,57.6,0.0
Shaler Ward 5 Dist 1,40.527800000000006,-79.9767,Zappala,10,54.1,56,66,0,122,45.9,54.1,0.0
Shaler Ward 5 Dist 2,40.5384,-79.98260000000002,Zappala,3,51.0,70,73,0,143,49.0,51.0,0.0
Shaler Ward 5 Dist 3,40.5281,-79.96695,Zappala,9,53.8,54,63,0,117,46.2,53.8,0.0
Shaler Ward 5 Dist 4,40.52205000000001,-79.98400000000001,Zappala,4,53.3,28,32,0,60,46.7,53.3,0.0
Shaler Ward 5 Dist 5,40.5307,-79.98345,Zappala,33,62.4,50,83,0,133,37.6,62.4,0.0
Shaler Ward 6 Dist 1,40.55055,-79.96545,Zappala,32,63.6,43,75,0,118,36.4,63.6,0.0
Shaler Ward 6 Dist 2,40.55075000000001,-79.974,Zappala,42,67.5,39,81,0,120,32.5,67.5,0.0
Shaler Ward 6 Dist 3,40.54690000000001,-79.98295000000002,Zappala,9,59.2,20,29,0,49,40.8,59.2,0.0
Shaler Ward 6 Dist 4,40.5509,-79.953,Zappala,12,57.1,36,48,0,84,42.9,57.1,0.0
Shaler Ward 6 Dist 5,40.549350000000004,-79.9844,Zappala,17,56.6,56,73,0,129,43.4,56.6,0.0
Shaler Ward 7 Dist 1,40.50790000000001,-79.94085000000001,Zappala,43,66.2,45,88,0,133,33.8,66.2,0.0
Shaler Ward 7 Dist 2,40.512550000000005,-79.95485000000001,Zappala,14,55.3,59,73,0,132,44.7,55.3,0.0
Shaler Ward 7 Dist 3,40.51955,-79.94745,Zappala,9,54.2,49,58,0,107,45.8,54.2,0.0
Shaler Ward 7 Dist 4,40.52235,-79.94905,Zappala,56,64.9,66,122,0,188,35.1,64.9,0.0
Sharpsburg Dist 1,40.494150000000005,-79.93675,Zappala,35,65.2,40,75,0,115,34.8,65.2,0.0
Sharpsburg Dist 2,40.495050000000006,-79.92915,Zappala,25,58.0,65,91,1,157,41.4,58.0,0.6
Sharpsburg Dist 3,40.493050000000004,-79.91655,Zappala,35,61.9,56,91,0,147,38.1,61.9,0.0
S Fayette Dist 1,40.3361,-80.12565000000001,Dugan,5,53.8,35,30,0,65,53.8,46.2,0.0
S Fayette Dist 2,40.36585,-80.14455000000001,Dugan,0,50.0,89,89,0,178,50.0,50.0,0.0
S Fayette Dist 3,40.3661,-80.16785000000002,Dugan,63,62.8,155,92,0,247,62.8,37.2,0.0
S Fayette Dist 4,40.33075,-80.11965000000001,Dugan,28,59.7,86,58,0,144,59.7,40.3,0.0
S Fayette Dist 5,40.3562,-80.19345000000001,Dugan,11,54.2,71,60,0,131,54.2,45.8,0.0
S Fayette Dist 6,40.321400000000004,-80.1294,Zappala,10,52.9,81,91,0,172,47.1,52.9,0.0
S Fayette Dist 7,40.3873,-80.18695,Zappala,6,52.6,54,60,0,114,47.4,52.6,0.0
S Fayette Dist 8,40.346650000000004,-80.13380000000001,Dugan,11,52.1,138,126,1,265,52.1,47.5,0.4
S Fayette Dist 9,40.33345,-80.15295,Zappala,1,50.5,48,49,0,97,49.5,50.5,0.0
S Fayette Dist 10,40.32795,-80.12745000000001,Zappala,4,51.8,55,59,0,114,48.2,51.8,0.0
S Fayette Dist 11,40.35985,-80.14425,Zappala,20,56.4,68,88,0,156,43.6,56.4,0.0
S Fayette Dist 12,40.33840000000001,-80.11760000000001,Dugan,18,56.3,81,63,0,144,56.3,43.8,0.0
South Park Dist 1,40.295500000000004,-79.97715000000001,Zappala,7,53.2,52,59,0,111,46.8,53.2,0.0
South Park Dist 2,40.33045,-79.99355,Zappala,13,62.7,19,32,0,51,37.3,62.7,0.0
South Park Dist 3,40.2914,-80.02295000000001,Dugan,11,56.5,48,37,0,85,56.5,43.5,0.0
South Park Dist 4,40.290000000000006,-80.00800000000001,Dugan,1,50.4,58,57,0,115,50.4,49.6,0.0
South Park Dist 5,40.32325,-79.98750000000001,Zappala,27,59.1,61,88,0,149,40.9,59.1,0.0
South Park Dist 6,40.30415000000001,-80.0077,Dugan,12,53.8,85,73,0,158,53.8,46.2,0.0
South Park Dist 7,40.294700000000006,-79.9924,Zappala,9,52.2,96,106,1,203,47.3,52.2,0.5
South Park Dist 8,40.32175000000001,-79.9941,Zappala,7,53.2,51,58,0,109,46.8,53.2,0.0
South Park Dist 9,40.30695,-79.99115,Dugan,13,54.4,80,67,0,147,54.4,45.6,0.0
South Park Dist 10,40.27995,-79.98725000000002,Zappala,32,61.4,54,86,0,140,38.6,61.4,0.0
