muni_name,muni_center_lat,muni_center_lon,winner,winner_net,winner_pct,Dugan_total,Zappala_total,Write-in_total,muni_total,Dugan_pct,Zappala_pct,Write-in_pct
WALL,40.3915620093,-79.7856959868,Zappala,23,72.5,14,37,0,51,27.5,72.5,0.0
WEST DEER,40.6350706708,-79.8692864183,Zappala,150,59.8,305,456,1,762,40.0,59.8,0.1
WEST ELIZABETH,40.2721539007,-79.8951701805,Dugan,1,100.0,1,0,0,1,100.0,0.0,0.0
WEST HOMESTEAD,40.3977433764,-79.9185831435,Zappala,10,54.9,46,56,0,102,45.1,54.9,0.0
WEST MIFFLIN,40.3580668422,-79.9072730242,Zappala,32,51.2,669,702,1,1372,48.8,51.2,0.1
WEST VIEW,40.5181642946,-80.0332991519,Dugan,26,53.8,183,157,0,340,53.8,46.2,0.0
WHITAKER,40.4006712445,-79.8864190314,Dugan,9,58.5,31,22,0,53,58.5,41.5,0.0
WHITEHALL,40.3602171932,-79.9897913152,Zappala,113,54.3,597,710,0,1307,45.7,54.3,0.0
WHITE OAK,40.3415530285,-79.8008006548,Zappala,31,53.4,213,244,0,457,46.6,53.4,0.0
WILKINS,40.4264893535,-79.8230205194,Dugan,30,53.7,216,186,0,402,53.7,46.3,0.0
WILKINSBURG,40.4442180111,-79.8733262577,Dugan,554,76.5,799,243,2,1044,76.5,23.3,0.2
WILMERDING,40.3941906756,-79.8100482893,Zappala,10,58.6,24,34,0,58,41.4,58.6,0.0
